Sentence,Sentiment,sentiment_score,clean_sentence,wordlen
nstead accurately account terrible true story film determine become next texas chainsaw massacre,0.38889,3.8889,nstead accur account terribl true stori film determin becom next texa chainsaw massacr,13
nstead accurately account terrible true story film determine become next texas chainsaw massacre but countless people merely like watch solid tale universally interest soul,0.30556,3.0556,nstead accur account terribl true stori film determin becom next texa chainsaw massacr countless peopl mere like watch solid tale univers interest soul,23
nstead build laugh riot leave handful disparate funny moments real consequence,0.29167,2.9166999999999996,nstead build laugh riot leav hand dispar funni moment real consequ,11
nstead contrive climactic hero death,0.45833,4.5833,nstead contriv climact hero death,5
nstead contrive climactic hero death invite genuine spontaneity film evil alien laser gun actually hit something,0.33333,3.3333000000000004,nstead contriv climact hero death invit genuin spontan film evil alien laser gun actual hit someth,16
nstead hide pinocchio critics miramax hide everyone,0.0,0.0,nstead hide pinocchio critic miramax hide everyon,7
nstead hit audience head moral,0.44444,4.4444,nstead hit audienc head moral,5
nstead hit audience head moral schrader rely subtle ironies visual devices convey point view,0.69444,6.9444,nstead hit audienc head moral schrader reli subtl ironi visual devic convey point view,14
nstead make style director marcus adams copy various source good source bad mixture,0.097222,0.9722200000000001,nstead make style director marcu adam copi variou sourc good sourc bad mixtur,13
nstead panoramic sweep kapur give episodic choppiness undermine story emotional thrust,0.29167,2.9166999999999996,nstead panoram sweep kapur give episod choppi undermin stori emot thrust,11
nstead simply handle conventional material conventional way,0.65278,6.5278,nstead simpli handl convent materi convent way,7
nstead simply handle conventional material conventional way secretary take unexpected material handle unexpected way,0.72222,7.2222,nstead simpli handl convent materi convent way secretari take unexpect materi handl unexpect way,14
nstead try bust blondes diggs probe guy talent end movie bad,0.23611,2.3611,nstead tri bust blond digg probe guy talent end movi bad,11
nstead use george lucy obvious differences ignite spark,0.44444,4.4444,nstead use georg luci obviou differ ignit spark,8
nstead use george lucy obvious differences ignite spark lawrence desperately look elsewhere seize george haplessness lucy personality tics,0.27778,2.7778,nstead use georg luci obviou differ ignit spark lawrenc desper look elsewher seiz georg hapless luci person tic,18
ntacto dangerous seductively stylish game,0.65278,6.5278,ntacto danger seduct stylish game,5
ntelligent caustic take great writer dubious human,0.77778,7.7778,ntellig caustic take great writer dubiou human,7
ntended comedy relationships wretched work fall flat every conceivable area,0.26389,2.6389,ntend comedi relationship wretch work fall flat everi conceiv area,10
nteresting thoroughly unfaithful version carmen,0.61111,6.1111,nterest thoroughli unfaith version carmen,5
nterminably bleak say nothing bore,0.19444,1.9444,ntermin bleak say noth bore,5
nterview assassin draw considerable power simplicity,0.76389,7.6389,nterview assassin draw consider power simplic,6
ntriguing beautiful film read book,0.83333,8.3333,ntrigu beauti film read book,5
ntriguing beautiful film read book likely disappoint,0.75,7.5,ntrigu beauti film read book like disappoint,7
nvincible quite career peak the pianist roman polanski,0.48611,4.8610999999999995,nvincibl quit career peak pianist roman polanski,7
nvincible show back form astoundingly rich film,0.86111,8.6111,nvincibl show back form astoundingli rich film,7
nvolves two mysteries one give away feature,0.48611,4.8610999999999995,nvolv two mysteri one give away featur,7
ranian rural life close iraqi border,0.5,5.0,ranian rural life close iraqi border,6
rish writer brendan behan memoir borstal boy give love screen transferral,0.77778,7.7778,rish writer brendan behan memoir borstal boy give love screen transferr,11
rwin director never come adequate reason pay money get television free,0.13889,1.3889,rwin director never come adequ reason pay money get televis free,11
rwin earnest hard resist pleas spare wildlife respect environ there far worse message teach young audience probably perfectly happy sloppy slapstick comedy,0.55556,5.5556,rwin earnest hard resist plea spare wildlif respect environ far wors messag teach young audienc probabl perfectli happi sloppi slapstick comedi,21
ballistic worth price admission absolutely suck would see,0.083333,0.83333,ballist worth price admiss absolut suck would see,8
ballistic worth price admission absolutely suck would see please see previous answer,0.125,1.25,ballist worth price admiss absolut suck would see plea see previou answer,12
red dragon worthy place alongside hannibal movies hannibal would say yes like old friend dinner,0.77778,7.7778,red dragon worthi place alongsid hannib movi hannib would say ye like old friend dinner,15
total success something true film addict want check you bet,0.66667,6.6667,total success someth true film addict want check bet,9
quite equal woo best earlier work,0.25,2.5,quit equal woo best earlier work,6
quite equal woo best earlier work easily finest american film come close recapture brilliance hong kong film,0.76042,7.6042,quit equal woo best earlier work easili finest american film come close recaptur brillianc hong kong film,17
truth stranger fiction screenwriter charlie kaufman world,0.5,5.0,truth stranger fiction screenwrit charli kaufman world,7
truth stranger fiction screenwriter charlie kaufman world truth fiction equally strange take,0.61111,6.1111,truth stranger fiction screenwrit charli kaufman world truth fiction equal strang take,12
sabelle huppert show uncanny skill get skin character,0.76389,7.6389,sabel huppert show uncanni skill get skin charact,8
sabelle huppert excel enigmatic mika anna mouglalis stun new young talent one chabrol intense psychological mysteries,0.875,8.75,sabel huppert excel enigmat mika anna mouglali stun new young talent one chabrol intens psycholog mysteri,16
young guns meet goodfellas easily skippable greaseballs mob,0.43056,4.3056,young gun meet goodfella easili skippabl greasebal mob,8
brilliant honest performance nicholson film agonize,0.375,3.75,brilliant honest perform nicholson film agon,6
brilliant honest performance nicholson film agonize bore except fantastic kathy bates turn bravado kathy,0.625,6.25,brilliant honest perform nicholson film agon bore except fantast kathi bate turn bravado kathi,14
great deal sizzle little steak but,0.36111,3.6111,great deal sizzl littl steak,5
ripper yarn one enjoy thrill chill naomi watts terrific rachel petite frame vulnerable persona emphasise plight isolation,0.81944,8.1944,ripper yarn one enjoy thrill chill naomi watt terrif rachel petit frame vulner persona emphasis plight isol,17
spectacular performance ahem hope act,0.69444,6.9444,spectacular perform ahem hope act,5
stale overuse cocktail use olives since garnish not entry number twenty worst brosnan bunch one worst entire franchise,0.125,1.25,stale overus cocktail use oliv sinc garnish entri number twenti worst brosnan bunch one worst entir franchis,17
thin notion repetitively stretch feature length awash flashy camera effect drone house music flat flat dialogue,0.30556,3.0556,thin notion repetit stretch featur length awash flashi camera effect drone hous music flat flat dialogu,16
tasteful rock roll movie you could put coffee table anywhere,0.77778,7.7778,tast rock roll movi could put coffe tabl anywher,9
pretty tame the offensive thing movie hollywood expect people pay see,0.19444,1.9444,pretti tame offens thing movi hollywood expect peopl pay see,10
